# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,
# Mon Oct 23 17:53:33 2023,,,,,,,,,,,,
#,,,,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,,,
# COLUMN sy_snum:        Number of Stars,,,,,,,,,,,,
# COLUMN sy_pnum:        Number of Planets,,,,,,,,,,,,
# COLUMN discoverymethod: Discovery Method,,,,,,,,,,,,
# COLUMN disc_year:      Discovery Year,,,,,,,,,,,,
# COLUMN disc_facility:  Discovery Facility,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass],,,,,,,,,,,,
# COLUMN st_teff:        Stellar Effective Temperature [K],,,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar Radius],,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)],,,,,,,,,,,,
# COLUMN sy_dist:        Distance [pc],,,,,,,,,,,,
#,,,,,,,,,,,,
pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_bmasse,st_teff,st_rad,st_mass,st_logg,sy_dist
GJ 3998 b,1,2,Radial Velocity,2016,Roque de los Muchachos Observatory,2.64977,2.47,3722,0.49,0.5,4.77,18.1459
GJ 3998 c,1,2,Radial Velocity,2016,Roque de los Muchachos Observatory,13.74,6.26,3722,0.49,0.5,4.77,18.1459
GJ 411 b,1,2,Radial Velocity,2019,Haute-Provence Observatory,12.9532,2.99,3563,0.39,0.39,0,5.675773
GJ 411 b,1,2,Radial Velocity,2019,Haute-Provence Observatory,12.9394,2.69,3719,0.37,0.39,4.89,5.675773
GJ 411 b,1,2,Radial Velocity,2019,Haute-Provence Observatory,12.9382,2.80325,3719.95,0.37,0.39,4.9,5.675773
GJ 411 b,1,2,Radial Velocity,2019,Haute-Provence Observatory,12.946,2.69,3601,0.39,0.39,4.87,5.675773
GJ 414 A b,2,2,Radial Velocity,2021,W. M. Keck Observatory,50.8,7.6,4120,0.68,0.65,4.65,11.8893
GJ 414 A b,2,2,Radial Velocity,2021,W. M. Keck Observatory,51.625,10.23407,4205.93,0.67,0.69,4.62,11.8893
GJ 414 A c,2,2,Radial Velocity,2021,W. M. Keck Observatory,749.83,53.83,4120,0.68,0.65,4.65,11.8893
GJ 414 A c,2,2,Radial Velocity,2021,W. M. Keck Observatory,744.7,58.48043,4205.93,0.67,0.69,4.62,11.8893
GJ 422 b,1,1,Radial Velocity,2014,Multiple Observatories,20.129,11.07,0,0,0.35,0,12.6631
GJ 422 b,1,1,Radial Velocity,2014,Multiple Observatories,26.161,9.9,3323,0,0.35,0,12.6631
GJ 4276 b,1,1,Radial Velocity,2019,Calar Alto Observatory,13.352,16.57,3387,0.41,0.41,4.97,21.3362
GJ 433 b,1,3,Radial Velocity,2011,La Silla Observatory,7.3709,6.3566,3461,0.5,0.59,4.81,9.06456
GJ 433 b,1,3,Radial Velocity,2011,La Silla Observatory,7.3705,6.043,0,0,0.48,0,9.06456
GJ 433 b,1,3,Radial Velocity,2011,La Silla Observatory,7.3697,5.3,3472,0,0.48,0,9.06456
GJ 433 b,1,3,Radial Velocity,2011,La Silla Observatory,7.3709,5.79,3600,0,0.48,0,9.06456
GJ 433 c,1,3,Radial Velocity,2014,Multiple Observatories,5094.105,32.422,0,0,0.48,0,9.06456
GJ 433 c,1,3,Radial Velocity,2014,Multiple Observatories,3400,45,3472,0,0.48,0,9.06456
GJ 433 d,1,3,Radial Velocity,2020,Multiple Facilities,36.059,5.223,0,0,0.48,0,9.06456
GJ 436 b,1,1,Radial Velocity,2004,W. M. Keck Observatory,2.64385,23.1688,3350,0.46,0.45,4.84,9.75321
GJ 436 b,1,1,Radial Velocity,2004,W. M. Keck Observatory,2.6441,21.294,0,0,0.41,0,9.75321
GJ 436 b,1,1,Radial Velocity,2004,W. M. Keck Observatory,2.6,23.201,0,0,0,0,9.75321
GJ 436 b,1,1,Radial Velocity,2004,W. M. Keck Observatory,2.64389524,23.42407,3500,0.45,0.46,4.79,9.75321
GJ 436 b,1,1,Radial Velocity,2004,W. M. Keck Observatory,0,21.67601,0,0,0.45,0,9.75321
GJ 436 b,1,1,Radial Velocity,2004,W. M. Keck Observatory,2.64389751,0,3350,0.46,0.45,4.84,9.75321
GJ 436 b,1,1,Radial Velocity,2004,W. M. Keck Observatory,2.643892,21.23094,3586.11,0.42,0.44,4.84,9.75321
GJ 436 b,1,1,Radial Velocity,2004,W. M. Keck Observatory,2.6438979,0,3585,0.44,0.45,4.84,9.75321
GJ 436 b,1,1,Radial Velocity,2004,W. M. Keck Observatory,2.64389803,25.4,3416,0.46,0.56,4.84,9.75321
GJ 436 b,1,1,Radial Velocity,2004,W. M. Keck Observatory,2.6438904,0,3500,0.45,0.45,5,9.75321
GJ 436 b,1,1,Radial Velocity,2004,W. M. Keck Observatory,2.64389788,23.13802,3350,0,0,4.43,9.75321
GJ 436 b,1,1,Radial Velocity,2004,W. M. Keck Observatory,2.64386,23.1,0,0.45,0,0,9.75321
GJ 436 b,1,1,Radial Velocity,2004,W. M. Keck Observatory,2.643943,21.3891,3456,0.43,0.42,4.8,9.75321
GJ 436 b,1,1,Radial Velocity,2004,W. M. Keck Observatory,2.64388561,0,3456,0.43,0,4.8,9.75321
GJ 436 b,1,1,Radial Velocity,2004,W. M. Keck Observatory,2.64389803,25.4,3479,0.45,0.45,0,9.75321
GJ 436 b,1,1,Radial Velocity,2004,W. M. Keck Observatory,2.644,21.36,3456,0.43,0.42,4.8,9.75321
GJ 436 b,1,1,Radial Velocity,2004,W. M. Keck Observatory,2.64389846,0,3456,0.43,0.42,4.8,9.75321
GJ 436 b,1,1,Radial Velocity,2004,W. M. Keck Observatory,2.64385,22.6603,3350,0,0.44,0,9.75321
GJ 436 b,1,1,Radial Velocity,2004,W. M. Keck Observatory,2.643859,21.6751,3456,0.43,0.42,4.8,9.75321
GJ 436 b,1,1,Radial Velocity,2004,W. M. Keck Observatory,2.64388312,22.1,0,0.46,0.47,4.79,9.75321
GJ 436 b,1,1,Radial Velocity,2004,W. M. Keck Observatory,2.6438986,0,3500,0,0,4.5,9.75321
GJ 463 b,1,1,Radial Velocity,2022,Multiple Observatories,3448,1080.61658,3540,0.49,0.49,4.86,18.3554
GJ 463 b,1,1,Radial Velocity,2022,Multiple Observatories,3448,1144.18227,3540,0.49,0.49,4.86,18.3554
GJ 463 b,1,1,Radial Velocity,2022,Multiple Observatories,3448,492.63403,3540,0.49,0.49,4.86,18.3554
GJ 480 b,1,1,Radial Velocity,2020,Multiple Observatories,9.567,13.2,0,0,0.45,0,14.2358
GJ 486 b,1,1,Radial Velocity,2021,Calar Alto Observatory,1.467119,2.82,3340,0.33,0.32,0,8.07426
GJ 486 b,1,1,Radial Velocity,2021,Calar Alto Observatory,1.46711903,0,3297,0.33,0,4.89,8.07426
GJ 504 b,1,1,Imaging,2013,Subaru Telescope,0,1271.3,6234,0,1.22,4.6,17.5299
GJ 514 b,1,1,Radial Velocity,2022,Multiple Observatories,140.43,5.2,3728,0.5,0.51,4.76,7.61778
GJ 536 b,1,1,Radial Velocity,2016,La Silla Observatory,8.708,6.52,3674,0.51,0.51,4.73,10.4092
GJ 536 b,1,1,Radial Velocity,2016,La Silla Observatory,8.7076,5.36,3685,0.5,0.52,4.75,10.4092
GJ 581 b,1,3,Radial Velocity,2005,La Silla Observatory,5.36879,16.24103,3490.39,0.32,0.32,4.94,6.2981
GJ 581 b,1,3,Radial Velocity,2005,La Silla Observatory,5.368,15.2,3396,0.33,0.31,4.89,6.2981
GJ 581 b,1,3,Radial Velocity,2005,La Silla Observatory,5.36874,15.65,0,0,0,0,6.2981
GJ 581 b,1,3,Radial Velocity,2005,La Silla Observatory,5.3686,15.8,3396,0.33,0.31,4.89,6.2981
GJ 581 b,1,3,Radial Velocity,2005,La Silla Observatory,5.366,16.6,0,0.29,0.31,0,6.2981
GJ 581 b,1,3,Radial Velocity,2005,La Silla Observatory,5.36841,15.6,0,0.29,0.31,0,6.2981
GJ 581 c,1,3,Radial Velocity,2007,La Silla Observatory,12.9191,5.6,0,0.29,0.31,0,6.2981
GJ 581 c,1,3,Radial Velocity,2007,La Silla Observatory,12.9144,5.05347,3490.39,0.32,0.32,4.94,6.2981
GJ 581 c,1,3,Radial Velocity,2007,La Silla Observatory,12.919,5.652,3396,0.33,0.31,4.89,6.2981
GJ 581 c,1,3,Radial Velocity,2007,La Silla Observatory,12.914,5.5,3396,0.33,0.31,4.89,6.2981
GJ 581 c,1,3,Radial Velocity,2007,La Silla Observatory,12.9292,5.36,0,0,0,0,6.2981
GJ 581 e,1,3,Radial Velocity,2009,La Silla Observatory,3.14942,1.94,0,0,0,0,6.2981
GJ 581 e,1,3,Radial Velocity,2009,La Silla Observatory,3.153,1.657,3396,0.33,0.31,4.89,6.2981
GJ 581 e,1,3,Radial Velocity,2009,La Silla Observatory,3.14867,1.7,0,0.29,0.31,0,6.2981
GJ 581 e,1,3,Radial Velocity,2009,La Silla Observatory,3.149,1.7,3396,0.33,0.31,4.89,6.2981
GJ 625 b,1,1,Radial Velocity,2017,Multiple Observatories,14.628,2.82,3499,0.31,0.3,4.94,6.47249
GJ 649 b,1,1,Radial Velocity,2009,W. M. Keck Observatory,604.8,87.40281,3807.22,0.5,0.53,4.76,10.3796
GJ 649 b,1,1,Radial Velocity,2009,W. M. Keck Observatory,600.1,81.99973,3734,0.5,0.51,4.76,10.3796
GJ 649 b,1,1,Radial Velocity,2009,W. M. Keck Observatory,598.3,104.244,3700,0,0.54,0,10.3796
GJ 667 C b,3,5,Radial Velocity,2011,La Silla Observatory,7.2,5.661,3650,0,0,0,7.24396
GJ 667 C b,3,5,Radial Velocity,2011,La Silla Observatory,7.20066,5.68,0,0,0,0,7.24396
GJ 667 C b,3,5,Radial Velocity,2011,La Silla Observatory,7.1999,5.6,3650,0,0,0,7.24396
GJ 667 C b,3,5,Radial Velocity,2011,La Silla Observatory,7.2004,5.6,3350,0,0.33,4.69,7.24396
GJ 667 C c,3,5,Radial Velocity,2011,La Silla Observatory,28.155,4.54,0,0,0,0,7.24396
GJ 667 C c,3,5,Radial Velocity,2011,La Silla Observatory,28.14,3.8,3350,0,0.33,4.69,7.24396
GJ 667 C c,3,5,Radial Velocity,2011,La Silla Observatory,28.1,4.1,3650,0,0,0,7.24396
GJ 667 C c,3,5,Radial Velocity,2011,La Silla Observatory,28.143,3.709,3650,0,0,0,7.24396
GJ 667 C e,3,5,Radial Velocity,2013,La Silla Observatory,62.24,2.7,3350,0,0.33,4.69,7.24396
GJ 667 C f,3,5,Radial Velocity,2013,La Silla Observatory,39.026,2.7,3350,0,0.33,4.69,7.24396
GJ 667 C g,3,5,Radial Velocity,2013,La Silla Observatory,256.2,4.6,3350,0,0.33,4.69,7.24396
GJ 674 b,1,1,Radial Velocity,2007,La Silla Observatory,4.6938,11.09,3600,0,0.35,0,4.54896
GJ 676 A b,2,4,Radial Velocity,2010,La Silla Observatory,1056.80005,1576.4368,3734,0.69,0.73,4.62,16.0272
GJ 676 A b,2,4,Radial Velocity,2010,La Silla Observatory,1051.1,2129.461,0,0,0,0,16.0272
GJ 676 A b,2,4,Radial Velocity,2010,La Silla Observatory,1056.8,1557.301,0,0,0,0,16.0272
GJ 676 A b,2,4,Radial Velocity,2010,La Silla Observatory,1050.3,1570,0,0,0.71,0,16.0272
GJ 676 A b,2,4,Radial Velocity,2010,La Silla Observatory,1051.44521,1840.86213,0,0,0.63,0,16.0272
GJ 676 A c,2,4,Radial Velocity,2016,Paranal Observatory,13921.42302,4288.14087,0,0,0.63,0,16.0272
GJ 676 A c,2,4,Radial Velocity,2016,Paranal Observatory,7337,2161.244,0,0,0,0,16.0272
GJ 676 A d,2,4,Radial Velocity,2012,La Silla Observatory,3.60076,3.81394,0,0,0.63,0,16.0272
GJ 676 A d,2,4,Radial Velocity,2012,La Silla Observatory,3.6,4.4,0,0,0.71,0,16.0272
GJ 676 A d,2,4,Radial Velocity,2012,La Silla Observatory,3.6005,4.4,0,0,0,0,16.0272
GJ 676 A e,2,4,Radial Velocity,2012,La Silla Observatory,35.39,8.1,0,0,0,0,16.0272
GJ 676 A e,2,4,Radial Velocity,2012,La Silla Observatory,35.37,11.5,0,0,0.71,0,16.0272
GJ 676 A e,2,4,Radial Velocity,2012,La Silla Observatory,35.47358,6.6744,0,0,0.63,0,16.0272
GJ 680 b,2,1,Radial Velocity,2022,Multiple Observatories,17281.66514,7977.49302,0,0,0.46,0,9.67315
GJ 682 b,1,2,Radial Velocity,2014,Multiple Observatories,17.478,4.4,3028,0,0.27,0,5.00671
GJ 682 c,1,2,Radial Velocity,2014,Multiple Observatories,57.32,8.7,3028,0,0.27,0,5.00671
GJ 685 b,1,1,Radial Velocity,2019,Roque de los Muchachos Observatory,24.16,9,3816,0.54,0.55,4.72,14.3155
GJ 687 b,1,2,Radial Velocity,2014,Lick Observatory,38.142,17.2,0,0,0.4,0,4.54939
GJ 687 b,1,2,Radial Velocity,2014,Lick Observatory,38.14,19.0698,3340,0.43,0.45,4.82,4.54939
GJ 687 b,1,2,Radial Velocity,2014,Lick Observatory,38.152,17.57591,3561.3,0.4,0.42,4.86,4.54939
GJ 687 b,1,2,Radial Velocity,2014,Lick Observatory,38.14,18.394,3413,0.42,0.41,0,4.54939
GJ 687 c,1,2,Radial Velocity,2020,Multiple Observatories,727.562,16,0,0,0.4,0,4.54939
GJ 720 A b,2,1,Radial Velocity,2021,Roque de los Muchachos Observatory,19.466,13.64,3837,0.56,0.57,4.71,15.5575
GJ 740 b,1,1,Radial Velocity,2021,Multiple Observatories,2.37756,2.96,3913,0.56,0.58,4.68,11.1017
GJ 832 b,1,1,Radial Velocity,2008,Anglo-Australian Telescope,3610,254.26273,3472,0,0.45,4.7,4.96435
GJ 832 b,1,1,Radial Velocity,2008,Anglo-Australian Telescope,3853,314.65012,0,0,0.45,0,4.96435
GJ 832 b,1,1,Radial Velocity,2008,Anglo-Australian Telescope,3507,197.046,0,0.44,0.44,4.79,4.96435
GJ 832 b,1,1,Radial Velocity,2008,Anglo-Australian Telescope,3416,203.4,3657,0.48,0.45,4.7,4.96435
GJ 832 b,1,1,Radial Velocity,2008,Anglo-Australian Telescope,3657,216,3472,0,0.45,4.7,4.96435
GJ 849 b,1,2,Radial Velocity,2006,W. M. Keck Observatory,1845,289.21,0,0,0.49,0,8.80058
GJ 849 b,1,2,Radial Velocity,2006,W. M. Keck Observatory,1915,286.04557,0,0,0.49,0,8.80058
GJ 849 b,1,2,Radial Velocity,2006,W. M. Keck Observatory,1890,260.61,0,0,0.49,0,8.80058
GJ 849 b,1,2,Radial Velocity,2006,W. M. Keck Observatory,1924,289.531,3407,0.46,0.46,4.77,8.80058
GJ 849 b,1,2,Radial Velocity,2006,W. M. Keck Observatory,1882,317.83,3241,0.53,0.65,4.8,8.80058
GJ 849 b,1,2,Radial Velocity,2006,W. M. Keck Observatory,1940,283.18511,3562.68,0.47,0.5,4.79,8.80058
GJ 849 b,1,2,Radial Velocity,2006,W. M. Keck Observatory,1925.31,283.82077,3467,0.45,0.45,4.8,8.80058
GJ 849 c,1,2,Radial Velocity,2014,W. M. Keck Observatory,5990,0.99,3467,0.45,0.45,4.8,8.80058
GJ 849 c,1,2,Radial Velocity,2014,W. M. Keck Observatory,7068,223.11554,0,0,0.49,0,8.80058
GJ 849 c,1,2,Radial Velocity,2014,W. M. Keck Observatory,5750,342.93685,3562.68,0.47,0.5,4.79,8.80058
GJ 86 b,2,1,Radial Velocity,1999,La Silla Observatory,15.76491,1404.8086,5182,0.77,0.93,4.63,10.7836
GJ 86 b,2,1,Radial Velocity,1999,La Silla Observatory,15.764,1284.0332,0,0,0.8,0,10.7836
GJ 86 b,2,1,Radial Velocity,1999,La Silla Observatory,15.76491,1242.66,5151,0,0.77,4.59,10.7836
GJ 876 b,1,4,Radial Velocity,1998,Multiple Observatories,60.83,804.076,3271,0.35,0.34,4.87,4.67517
GJ 876 b,1,4,Radial Velocity,1998,Multiple Observatories,61.02,600.67,3271,0.35,0.34,4.87,4.67517
GJ 876 b,1,4,Radial Velocity,1998,Multiple Observatories,60.85,670.59,3271,0.35,0.34,4.87,4.67517
GJ 876 b,1,4,Radial Velocity,1998,Multiple Observatories,61.1166,723.2235,0,0.3,0.32,0,4.67517
GJ 876 b,1,4,Radial Velocity,1998,Multiple Observatories,61.087,845.3,0,0,0.37,0,4.67517
GJ 876 b,1,4,Radial Velocity,1998,Multiple Observatories,61.03474,672.20708,3293.74,0.37,0.37,4.87,4.67517
GJ 876 b,1,4,Radial Velocity,1998,Multiple Observatories,61.065,839.04,0,0,0.33,0,4.67517
GJ 876 b,1,4,Radial Velocity,1998,Multiple Observatories,61.082,887.69135,3271,0.35,0.34,4.87,4.67517
GJ 876 c,1,4,Radial Velocity,2000,Multiple Observatories,30.126,281.74197,3271,0.35,0.34,4.87,4.67517
GJ 876 c,1,4,Radial Velocity,2000,Multiple Observatories,30.259,273.32,0,0,0.33,0,4.67517
GJ 876 c,1,4,Radial Velocity,2000,Multiple Observatories,30.0881,226.9846,0,0.3,0.32,0,4.67517
GJ 876 c,1,4,Radial Velocity,2000,Multiple Observatories,30.455,251.075,3271,0.35,0.34,4.87,4.67517
GJ 876 c,1,4,Radial Velocity,2000,Multiple Observatories,30.22902,221.84423,3293.74,0.37,0.37,4.87,4.67517
GJ 876 c,1,4,Radial Velocity,2000,Multiple Observatories,30.12,177.98,3271,0.35,0.34,4.87,4.67517
GJ 876 c,1,4,Radial Velocity,2000,Multiple Observatories,30.0784,266.2,0,0,0.37,0,4.67517
GJ 876 d,1,4,Radial Velocity,2005,W. M. Keck Observatory,1.93778,6.83,0,0.3,0.32,0,4.67517
GJ 876 d,1,4,Radial Velocity,2005,W. M. Keck Observatory,1.937848,7.49,0,0,0.37,0,4.67517
GJ 876 d,1,4,Radial Velocity,2005,W. M. Keck Observatory,1.93785,7.4,0,0,0.33,0,4.67517
GJ 876 d,1,4,Radial Velocity,2005,W. M. Keck Observatory,1.93774,7.53,3271,0.35,0.34,4.87,4.67517
GJ 876 d,1,4,Radial Velocity,2005,W. M. Keck Observatory,1.93778,5.85,3271,0.35,0.34,4.87,4.67517
GJ 876 d,1,4,Radial Velocity,2005,W. M. Keck Observatory,1.937916,5.84804,3293.74,0.37,0.37,4.87,4.67517
GJ 876 d,1,4,Radial Velocity,2005,W. M. Keck Observatory,1.938,8.06144,3271,0.35,0.34,4.87,4.67517
GJ 876 e,1,4,Radial Velocity,2010,W. M. Keck Observatory,124.26,14.6,0,0.3,0.32,0,4.67517
GJ 876 e,1,4,Radial Velocity,2010,W. M. Keck Observatory,124.4,18.00115,3271,0.35,0.34,4.87,4.67517
GJ 876 e,1,4,Radial Velocity,2010,W. M. Keck Observatory,124.5,16.58,0,0,0.37,0,4.67517
GJ 887 b,1,2,Radial Velocity,2020,La Silla Observatory,9.262,4.2,3688,0.47,0.49,4.78,3.29
GJ 887 c,1,2,Radial Velocity,2020,La Silla Observatory,21.789,7.6,3688,0.47,0.49,4.78,3.29
GJ 896 A b,2,1,Astrometry,2022,Very Long Baseline Array,284.39,718.2922,0,0,0.44,0,6.26022
GJ 9066 c,1,1,Radial Velocity,2020,Multiple Observatories,771.36,66.74397,3154,0.16,0.15,5.01,4.471
GJ 9066 c,1,1,Radial Velocity,2020,Multiple Observatories,767.887,71.6,0,0,0.15,0,4.471
GJ 9404 b,1,1,Radial Velocity,2023,Roque de los Muchachos Observatory,13.4586,11.9,0,0,0.62,0,23.8839
GJ 96 b,1,1,Radial Velocity,2018,Haute-Provence Observatory,73.94,19.66,3785,0,0.6,0,11.9315
GJ 9689 b,1,1,Radial Velocity,2020,Roque de los Muchachos Observatory,18.27,9.65,3836,0.57,0.59,4.69,30.6203
GJ 9714 b,1,1,Radial Velocity,2022,Multiple Observatories,19240.75467,2988.54051,0,0,0.67,0,20.5121
GJ 9827 b,1,3,Transit,2017,K2,1.208957,0,4255,0.65,0.66,4.7,29.661
GJ 9827 b,1,3,Transit,2017,K2,1.2089819,5.14,4305,0.6,0.61,0,29.661
GJ 9827 b,1,3,Transit,2017,K2,1.209,4.89,4255,0.6,0.61,4.7,29.661
GJ 9827 b,1,3,Transit,2017,K2,1.20891224,0,4199,0.63,0,4.65,29.661
GJ 9827 b,1,3,Transit,2017,K2,1.208966,3.69,4219,0.62,0.64,4.66,29.661
GJ 9827 b,1,3,Transit,2017,K2,1.2089819,4.91,4340,0.6,0.61,4.66,29.661
GJ 9827 b,1,3,Transit,2017,K2,1.2089802,3.42,4269,0.61,0.61,4.65,29.661
GJ 9827 c,1,3,Transit,2017,K2,3.64823,1.45,4219,0.62,0.64,4.66,29.661
GJ 9827 c,1,3,Transit,2017,K2,3.6480957,0.84,4340,0.6,0.61,4.66,29.661
GJ 9827 c,1,3,Transit,2017,K2,3.648096,1.3,4305,0.6,0.61,0,29.661
GJ 9827 c,1,3,Transit,2017,K2,3.64802,0,4255,0.65,0.66,4.7,29.661
GJ 9827 c,1,3,Transit,2017,K2,3.648083,2.42,4269,0.61,0.61,4.65,29.661
GJ 9827 d,1,3,Transit,2017,K2,6.2014698,4.04,4340,0.6,0.61,4.66,29.661
GJ 9827 d,1,3,Transit,2017,K2,6.201467,5.2,4269,0.61,0.61,4.65,29.661
GJ 9827 d,1,3,Transit,2017,K2,6.20141,0,4255,0.65,0.66,4.7,29.661
GJ 9827 d,1,3,Transit,2017,K2,6.20142,2.35,4219,0.62,0.64,4.66,29.661
GJ 9827 d,1,3,Transit,2017,K2,6.20147,3.53,4305,0.6,0.61,0,29.661
GPX-1 b,1,1,Transit,2021,Acton Sky Portal Observatory,1.74428305,0,8039,1.6,0,4.32,655.013
GPX-1 b,1,1,Transit,2021,Acton Sky Portal Observatory,1.744579,6261.21962,7000,1.56,1.68,4.27,655.013
GQ Lup b,1,1,Imaging,2004,Paranal Observatory,0,9852.73,4360,1.94,0,0,151.169
GQ Lup b,1,1,Imaging,2004,Paranal Observatory,0,6356,0,0,0.7,0,151.169
GSC 06214-00210 b,1,1,Imaging,2010,Palomar Observatory,0,4258.7,0,0,0.6,0,108.5
GSC 06214-00210 b,1,1,Imaging,2010,Palomar Observatory,0,4767.45,4432,0.9,0.69,4.37,108.5
GSC 06214-00210 b,1,1,Imaging,2010,Palomar Observatory,0,5300,4200,0,0.9,0,108.5
GSC 06214-00210 b,1,1,Imaging,2010,Palomar Observatory,0,5000,4200,0,0.9,0,108.5
GU Psc b,1,1,Imaging,2014,Gemini Observatory,0,3591.3,0,0,0.33,0,47.5501
Gaia-1 b,1,1,Transit,2022,European Space Agency (ESA) Gaia Satellite,3.052524,533.95172,5470,0.95,0.95,0,363.66
Gaia-2 b,1,1,Transit,2022,European Space Agency (ESA) Gaia Satellite,3.6915224,259.66581,5720,1.06,1,0,209.229
Gaia-2 b,1,1,Transit,2022,European Space Agency (ESA) Gaia Satellite,3.69155899,0,5720,1.09,0,4.37,209.229
Gl 378 b,1,1,Radial Velocity,2019,Haute-Provence Observatory,3.822,13.02,3879,0.56,0.56,0,14.9545
Gl 49 b,2,1,Radial Velocity,2019,Multiple Observatories,13.8508,5.63,3805,0.51,0.52,4.69,9.8528
Gl 686 b,1,1,Radial Velocity,2018,Roque de los Muchachos Observatory,15.5314,6.64,3654,0.43,0.43,4.88,8.15728
Gl 686 b,1,1,Radial Velocity,2018,Roque de los Muchachos Observatory,15.53,6.624,3656,0.43,0.43,4.87,8.15728
Gl 686 b,1,1,Radial Velocity,2018,Roque de los Muchachos Observatory,15.53209,7.1,3663,0.42,0.42,4.83,8.15728
HAT-P-1 b,2,1,Transit,2006,HATNet,4.46529974,0,6000,0,0,4.5,158.979
HAT-P-1 b,2,1,Transit,2006,HATNet,4.4652968,168.13207,5980,0,0,4.38,158.979
HAT-P-1 b,2,1,Transit,2006,HATNet,4.46529958,0,0,0,0,0,158.979
HAT-P-1 b,2,1,Transit,2006,HATNet,4.4652934,166.54292,5975,1.11,1.13,4.4,158.979
HAT-P-1 b,2,1,Transit,2006,HATNet,4.46529976,166.86075,5980,1.14,1.13,0,158.979
HAT-P-1 b,2,1,Transit,2006,HATNet,4.46529976,166.86075,5980,1.17,1.15,4.36,158.979
HAT-P-1 b,2,1,Transit,2006,HATNet,4.4652934,169.72122,6067,1.15,1.12,0,158.979
HAT-P-1 b,2,1,Transit,2006,HATNet,4.4653014,0,6051.2,1.18,0,4.35,158.979
HAT-P-1 b,2,1,Transit,2006,HATNet,4.4652992,0,5975,1.14,1.13,4.38,158.979
HAT-P-1 b,2,1,Transit,2006,HATNet,4.46543,169.08556,5975,1.14,1.13,4.38,158.979
HAT-P-1 b,2,1,Transit,2006,HATNet,4.4652934,166.536,0,1.11,1.13,0,158.979
HAT-P-1 b,2,1,Transit,2006,HATNet,0,0,6051.18,1.18,1.13,4.35,158.979
HAT-P-1 b,2,1,Transit,2006,HATNet,4.46529,168.4499,5975,1.15,1.12,4.45,158.979
HAT-P-1 b,2,1,Transit,2006,HATNet,4.46,168.4499,6051.18,1.18,1.13,4.35,158.979
HAT-P-11 b,1,2,Transit,2008,HATNet,4.8878009,0,4780,0.75,0.81,0,37.7647
HAT-P-11 b,1,2,Transit,2008,HATNet,0,24.02795,0,0,0.81,0,37.7647
HAT-P-11 b,1,2,Transit,2008,HATNet,4.88781501,26.69772,4780,0.69,0.81,4.66,37.7647
HAT-P-11 b,1,2,Transit,2008,HATNet,4.88780267,0,4777.56,0.76,0.77,4.56,37.7647
HAT-P-11 b,1,2,Transit,2008,HATNet,4.8878162,25.743,4780,0.75,0.81,0,37.7647
HAT-P-11 b,1,2,Transit,2008,HATNet,4.88780533,0,4757.3,0.76,0,4.56,37.7647
HAT-P-11 b,1,2,Transit,2008,HATNet,4.88780308,0,4777.56,0.76,0.77,4.56,37.7647
HAT-P-11 b,1,2,Transit,2008,HATNet,4.88780232,0,0,0,0,0,37.7647
HAT-P-11 b,1,2,Transit,2008,HATNet,4.88780244,23.4,4780,0.68,0.81,0,37.7647
HAT-P-11 b,1,2,Transit,2008,HATNet,4.88780271,0,4653,0.74,0.81,4.6,37.7647
HAT-P-11 b,1,2,Transit,2008,HATNet,4.88780308,0,4778,0.76,0.83,4.59,37.7647
HAT-P-11 b,1,2,Transit,2008,HATNet,0,0,4864,0.75,0,0,37.7647
HAT-P-11 b,1,2,Transit,2008,HATNet,4.88780026,0,4766,0.74,0.79,4.59,37.7647
HAT-P-11 b,1,2,Transit,2008,HATNet,4.8878049,0,0,0,0,0,37.7647
HAT-P-11 b,1,2,Transit,2008,HATNet,4.88780271,0,4777,0.77,0.83,4.59,37.7647
HAT-P-11 b,1,2,Transit,2008,HATNet,4.88780271,0,4777,0.77,0.83,4.59,37.7647
HAT-P-11 b,1,2,Transit,2008,HATNet,4.88780271,0,4777,0.77,0.83,4.59,37.7647
HAT-P-11 b,1,2,Transit,2008,HATNet,4.88782,28.6047,4708,0.77,0.88,4.37,37.7647
HAT-P-11 c,1,2,Radial Velocity,2018,W. M. Keck Observatory,3407,507,4780,0.68,0.81,0,37.7647
HAT-P-11 c,1,2,Radial Velocity,2018,W. M. Keck Observatory,3397,731.009,0,0,0.81,0,37.7647
HAT-P-12 b,1,1,Transit,2009,HATNet,3.2130589,66.10864,4559,0.7,0.73,0,142.751
HAT-P-12 b,1,1,Transit,2009,HATNet,3.2130579,67.06213,4650,0.7,0.73,4.61,142.751
HAT-P-12 b,1,1,Transit,2009,HATNet,3.2130578,0,4652.87,0.7,0,4.61,142.751
